Sr.,Year,No. of Offices,Deposit (Rs. in Million),Credit (Rs. in Million),Credit Deposit Ratio (In %)
1,2005-06,3730,1050473,591983,56.35
2,2006-07,3826,1192236,769159,64.51
3,2007-08,4039,1526911,,65.17
4,2008-09,4283,1879058,1186841,63.16
5,2009-10,4572,2164701,,65.28
6,2010-11,4893,2614850,1734316,66.33
7,2011-12,5279,3061132,2134472,
8,2012-13,5801,3610537,2606417,72.19
9,2013-14,6463,4165575,3086700,
10,2014-15,6965,4778336,,72.92
11,2015-16,7303,5224072,3923773,
12,2016-17,7656,6099094,4135367,67.8
13,2017-18,7835,,4827786,75
14,2018-19,7957,6747021,5313961,78.76
15,2019-20,8353,7631747,,71.45
16,2020-21,8333,8472639,5817250,
17,2021-22,8397,9283517,6491411,69.92
18,2022-23,8670,10274528,,71.46
19,2023-24,8971,11953650,8888605,
